,etablissement,filiere_agregee,zone,statut_simplifie,region
0,IFSI Séraphine de Senlis - CH Les Murets,IFSI,Ile-de-France,Public,Ile-de-France
2,Université Clermont Auvergne - Antenne de Vichy - UFR STAPS,Licence,Province,Public,Auvergne-Rhône-Alpes
3,Ecole régionale d'assistants du service social,EFTS,Province,Public,Occitanie
4,EFPP,EFTS,Ile-de-France,Privé,Ile-de-France
5,Université de Nantes,Licence,Province,Public,Pays de la Loire
6,Université Sorbonne Nouvelle Paris 3,Licence,Ile-de-France,Public,Ile-de-France
7,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence,Ile-de-France,Public,Ile-de-France
8,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence,Ile-de-France,Public,Ile-de-France
9,Lycée professionnel des Coteaux,Autre formation,Province,Public,Provence Alpes Côte d'Azur
10,Lycée professionnel Les Grippeaux,Autre formation,Province,Public,Nouvelle-Aquitaine
11,Lycée Sévigné,Autre formation,Province,Public,Hauts-de-France
12,INSTITUT ENSEIGNEMENT SUPERIEUR TRAVAIL SOCIAL - IESTS,EFTS,Province,Privé,Provence Alpes Côte d'Azur
13,ERTS,EFTS,Province,Privé,Centre-Val de Loire
14,I.M.F. Avignon,EFTS,Province,Privé,Provence Alpes Côte d'Azur
15,IFEN,EFTS,Province,Privé,Normandie
16,Université de Rouen Normandie - Campus Mont-Saint-Aignan,Licence,Province,Public,Normandie
17,Institut Paul Bocuse,Autre formation,Province,Privé,Auvergne-Rhône-Alpes
18,CRESPA -SCIENCES U,BTS,Province,Privé,Auvergne-Rhône-Alpes
19,Université Grenoble Alpes,Licence,Province,Public,Auvergne-Rhône-Alpes
20,Université de Bretagne Sud - Site de Lorient,Licence_Las,Province,Public,Bretagne
21,Université des Antilles - Pôle Martinique,PASS,Outre-mer / Etranger,Public,Martinique
22,Université de Nantes,Licence_Las,Province,Public,Pays de la Loire
23,Université de Bordeaux - Bordeaux Métropole,Licence_Las,Province,Public,Nouvelle-Aquitaine
24,Université Paris 2 Panthéon - Assas,Licence,Ile-de-France,Public,Ile-de-France
25,Université des Antilles - Pôle Guadeloupe,Licence_Las,Outre-mer / Etranger,Public,Guadeloupe
26,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
27,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
28,Université Toulouse 3 Paul Sabatier,Licence_Las,Province,Public,Occitanie
29,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
30,Université de Caen Normandie,Licence_Las,Province,Public,Normandie
31,Université de Franche-Comté - Site de Montbéliard,Autre formation,Province,Public,Bourgogne-Franche-Comté
32,Université de Nantes,PASS,Province,Public,Pays de la Loire
33,Faculté de médecine,Autre formation,Province,Public,Grand Est
34,Université Paris 8,Licence,Ile-de-France,Public,Ile-de-France
35,Université Amiens UFR médecine,Autre formation,Province,Public,Hauts-de-France
36,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence_Las,Ile-de-France,Public,Ile-de-France
37,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence_Las,Ile-de-France,Public,Ile-de-France
38,Université de la Réunion - Le Tampon,Licence_Las,Outre-mer / Etranger,Public,La Réunion
39,Lycée professionnel Magnan,Autre formation,Province,Public,Provence Alpes Côte d'Azur
40,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence_Las,Ile-de-France,Public,Ile-de-France
41,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence_Las,Ile-de-France,Public,Ile-de-France
42,Université Angers,PASS,Province,Public,Pays de la Loire
43,Lycée professionnel Pierre Latecoere,Autre formation,Province,Public,Provence Alpes Côte d'Azur
44,Université d'Amiens,PASS,Province,Public,Hauts-de-France
45,Université de Versailles - Saint Quentin en Yvelines,Licence,Ile-de-France,Public,Ile-de-France
46,Université de Poitiers,Licence_Las,Province,Public,Nouvelle-Aquitaine
47,Université de Brest,Licence,Province,Public,Bretagne
48,Aix Marseille Université - Site d'Aix-en-Provence,Licence_Las,Province,Public,Provence Alpes Côte d'Azur
49,Aix-Marseille Université - Site de Marseille Timone,PASS,Province,Public,Provence Alpes Côte d'Azur
50,South Champagne Business School - Campus de Chaumont,Ecole de Commerce,Province,Privé,Grand Est
51,Ecole Universitaire de premier cycle - Campus d'Orsay Université de Paris-Saclay (Orsay),PASS,Ile-de-France,Public,Ile-de-France
52,Lycée Polyvalent Rosa Parks,BTS,Province,Public,Pays de la Loire
53,IET - Institut de l'environnement et des technologies,BTS,Province,Privé,Auvergne-Rhône-Alpes
54,ISEN Yncrea Ouest Caen,Ecole d'Ingénieur,Province,Privé,Normandie
55,UniLaSalle Rennes,Ecole d'Ingénieur,Province,Privé,Bretagne
56,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
57,Lycée St J-B De La Salle,Ecole d'Ingénieur,Province,Privé,Grand Est
58,INALCO,Licence_Las,Ile-de-France,Public,Ile-de-France
59,Université Savoie Mont Blanc - Bourget-du-Lac,Licence_Las,Province,Public,Auvergne-Rhône-Alpes
60,Institut Catholique de Lyon,Autre formation,Province,Privé,Auvergne-Rhône-Alpes
61,Lycée professionnel Emile Baudot,BTS,Province,Public,Grand Est
62,Université Toulouse 3 Paul Sabatier,PASS,Province,Public,Occitanie
63,Lycée Gregor Mendel,BTS,Ile-de-France,Privé,Ile-de-France
64,Université Polytechnique Hauts-de-France,Licence_Las,Province,Public,Hauts-de-France
69,IFSI Sainte Marie,IFSI,Province,Privé,Provence Alpes Côte d'Azur
70,Université de la Polynésie française,Licence,Outre-mer / Etranger,Public,Polynésie française
71,"Centre de Ressources, d'Expertise et de Performance Sportive de Montpellier (CREPS)",Autre formation,Province,Public,Occitanie
72,IFSI Campus des Métiers de la Santé - Val de Lys Artois,IFSI,Province,Public,Hauts-de-France
73,Lycée François Bazin,BTS,Province,Public,Grand Est
74,IUT Reims-Châlons-Charleville site de Charleville,DUT,Province,Public,Grand Est
75,Facultés libres de l'ouest UCO - Angers,Licence,Province,Privé,Pays de la Loire
76,LGT privé Sacré-Coeur La Salle,BTS,Province,Privé,Pays de la Loire
77,Lycée agricole St Lô Thère,BTS,Province,Public,Normandie
78,INSTITUT NATIONAL DES SCIENCES ET TECHNIQUES DE LA MER,Autre formation,Province,Public,Normandie
79,Lycée Hugues Libergier,BTS,Province,Public,Grand Est
80,Lycée St Michel,BTS,Province,Privé,Grand Est
81,Lycée d'AVESNIERES,BTS,Province,Privé,Pays de la Loire
82,Lycée Jean-Baptiste Colbert,BTS,Province,Public,Bretagne
83,Facultés libres de l'ouest - UCO - Bretagne Sud,Licence,Province,Privé,Bretagne
84,Lycée agricole Metz-Courcelles-Chaussy,BTS,Province,Public,Grand Est
85,Lycée des Métiers Charles Jully,BTS,Province,Public,Grand Est
86,I.U.T. Thionville-Yutz - Université de Lorraine,DUT,Province,Public,Grand Est
87,Lycée Paul Hazard,BTS,Province,Public,Hauts-de-France
88,Lycée Gustave Eiffel,BTS,Province,Public,Hauts-de-France
89,Lycée Henri Wallon,BTS,Province,Public,Hauts-de-France
90,I.U.T. de Lille A,DUT,Province,Public,Hauts-de-France
91,I.U.T. de Lille A,DUT,Province,Public,Hauts-de-France
92,Lycée Vauban,BTS,Province,Privé,Hauts-de-France
93,Institut agricole de Genech,BTS,Province,Privé,Hauts-de-France
94,Institut Saint Vincent De Paul,BTS,Province,Privé,Hauts-de-France
95,UniLaSalle Beauvais,Ecole d'Ingénieur,Province,Privé,Hauts-de-France
96,Lycée agricole Auguste Loutreuil,BTS,Province,Public,Normandie
97,Lycée Fernand Darchicourt,BTS,Province,Public,Hauts-de-France
98,Lycée Mariette,CPGE,Province,Public,Hauts-de-France
99,Lycée professionnel Agricole Sainte Marie,BTS,Province,Privé,Hauts-de-France
100,Université d'Artois - Site d'Arras,Licence,Province,Public,Hauts-de-France
101,Université d'Artois - Site d'Arras,Licence,Province,Public,Hauts-de-France
102,Lycée Ambroise Brugiere,BTS,Province,Public,Auvergne-Rhône-Alpes
103,Institution Saint Alyre,BTS,Province,Privé,Auvergne-Rhône-Alpes
104,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
105,Ecole Nationale Supérieure d'Architecture de Clermont-Ferrand,Autre formation,Province,Public,Auvergne-Rhône-Alpes
106,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
107,Lycée Cantau,BTS,Province,Public,Nouvelle-Aquitaine
108,Université de Pau et des Pays de l'Adour,Licence,Province,Public,Nouvelle-Aquitaine
109,Lycée Jean Lurcat,BTS,Province,Public,Occitanie
110,LYCEE POLYVALENT CHRISTIAN BOURQUIN,BTS,Province,Public,Occitanie
111,Lycée Robert Schuman,BTS,Province,Public,Grand Est
112,Lycée Fustel De Coulanges,CPGE,Province,Public,Grand Est
113,Lycée Louis Couffignal,CPGE,Province,Public,Grand Est
114,I.U.T. d'Illkirch,DUT,Province,Public,Grand Est
115,I.U.T. d'Illkirch,DUT,Province,Public,Grand Est
116,I.U.T. de Schiltigheim,DUT,Province,Public,Grand Est
117,Lycée du Haut-Barr,BTS,Province,Public,Grand Est
118,Université de Strasbourg,Licence,Province,Public,Grand Est
119,Lycée Jean Jacques Henner,BTS,Province,Public,Grand Est
120,Lycée Jean Mermoz,BTS,Province,Public,Grand Est
121,Lycée Jean Mermoz,BTS,Province,Public,Grand Est
122,Université de Mulhouse,Licence,Province,Public,Grand Est
123,Université de Mulhouse,Licence,Province,Public,Grand Est
124,Lycée agricole Du Pflixbourg,BTS,Province,Public,Grand Est
125,Institution des Chartreux,Autre formation,Province,Privé,Auvergne-Rhône-Alpes
126,Lycée ORT,BTS,Province,Privé,Auvergne-Rhône-Alpes
127,Institut Agricole Sandar,BTS,Province,Privé,Auvergne-Rhône-Alpes
128,Lycée Jean-Paul Sartre,BTS,Province,Public,Auvergne-Rhône-Alpes
129,Lycée de Papara,BTS,Outre-mer / Etranger,Public,Polynésie française
130,EGC Sens,Ecole de Commerce,Province,Privé,Bourgogne-Franche-Comté
131,Lycée PHILIPPINE DUCHESNE ITEC BOISFLEURY,BTS,Province,Privé,Auvergne-Rhône-Alpes
132,Aix Marseille Université - Site d'Aix-en-Provence,Licence,Province,Public,Provence Alpes Côte d'Azur
133,Université de Lorraine - Site de Nancy,Autre formation,Province,Public,Grand Est
134,Lycée des métiers des soins et des services à la personne La Morlette,BTS,Province,Public,Nouvelle-Aquitaine
135,Lycée LEON BLUM,BTS,Province,Public,Bourgogne-Franche-Comté
136,Lycée Roland Garros,BTS,Outre-mer / Etranger,Public,La Réunion
137,L.E.G.T.A. Jean Monnet,BTS,Province,Public,Occitanie
138,Avignon Université,Licence,Province,Public,Provence Alpes Côte d'Azur
139,Université Jean Moulin Lyon 3,Licence,Province,Public,Auvergne-Rhône-Alpes
140,Lycée AMEP,BTS,Outre-mer / Etranger,Privé,Martinique
141,Lycée La Mennais,BTS,Outre-mer / Etranger,Privé,Polynésie française
142,Lycée Jean Dautet,Autre formation,Province,Public,Nouvelle-Aquitaine
143,Lycée Younoussa Bamana,BTS,Outre-mer / Etranger,Public,Mayotte
144,Université de Franche-Comté - Site de Belfort,Autre formation,Province,Public,Bourgogne-Franche-Comté
145,Université de Toulon,Licence,Province,Public,Provence Alpes Côte d'Azur
146,Lycée La Mennais,BTS,Outre-mer / Etranger,Privé,Polynésie française
147,Université de Lille,Licence,Province,Public,Hauts-de-France
148,Lycée polyvalent Pointe Noire,BTS,Outre-mer / Etranger,Public,Guadeloupe
149,Université Paris 8,Licence,Ile-de-France,Public,Ile-de-France
150,Université de La Rochelle,Autre formation,Province,Public,Nouvelle-Aquitaine
151,Université de La Rochelle,Autre formation,Province,Public,Nouvelle-Aquitaine
152,Lycée professionnel Blanchet,BTS,Outre-mer / Etranger,Privé,Guadeloupe
153,Lycée Colbert,BTS,Province,Public,Hauts-de-France
154,Lycée des métiers CFA Heinrich-Nessel,BTS,Province,Public,Grand Est
155,Lycée Louis Couffignal,BTS,Province,Public,Grand Est
156,Lycée Louis-Armand,BTS,Province,Public,Grand Est
157,ESCEM Orléans,Ecole de Commerce,Province,Privé,Centre-Val de Loire
158,Université Jean Moulin Lyon 3,Licence,Province,Public,Auvergne-Rhône-Alpes
159,Aix-Marseille Université - Site de Marseille Saint Charles,Licence,Province,Public,Provence Alpes Côte d'Azur
160,I.U.T. Reims-Châlons-Charleville - site de Châlons,DUT,Province,Public,Grand Est
161,Université de Nantes,Autre formation,Province,Public,Pays de la Loire
162,Lycée des métiers Condorcet Arcachon,Autre formation,Province,Public,Nouvelle-Aquitaine
163,Université Sorbonne Nouvelle Paris 3,Licence,Ile-de-France,Public,Ile-de-France
165,Pauline Roland,BTS,Ile-de-France,Public,Ile-de-France
166,Lycée Marie Curie,BTS,Outre-mer / Etranger,Public,La Réunion
167,Université Toulouse 1 Capitole,Licence,Province,Public,Occitanie
168,Université Lumière-Lyon 2,Licence,Province,Public,Auvergne-Rhône-Alpes
169,Lycée Jay De Beaufort,BTS,Province,Public,Nouvelle-Aquitaine
170,Université Toulouse 3 Paul Sabatier,Licence,Province,Public,Occitanie
171,Université Grenoble Alpes,Licence,Province,Public,Auvergne-Rhône-Alpes
172,Lycée professionnel Sainte Thérèse,Autre formation,Province,Privé,Bretagne
173,Lycée professionnel Heinlex,BTS,Province,Public,Pays de la Loire
174,Université Grenoble Alpes - Antenne de Valence,Licence,Province,Public,Auvergne-Rhône-Alpes
175,Lycée Jules Verne,BTS,Province,Public,Normandie
176,Lycée professionnel agricole Louis Mallet,BTS,Province,Public,Auvergne-Rhône-Alpes
177,CNAM de Franche-Comté site de Besançon et CNAM de Franche-Comté site de Belfort,Licence,Province,Public,Bourgogne-Franche-Comté
178,Lycée professionnel hôtelier Notre Dame,Autre formation,Province,Privé,Bretagne
179,Institut de Formation de Manipulateurs d-Electroradiologie Médicale,Autre formation,Province,Public,Auvergne-Rhône-Alpes
180,Université de Caen Normandie,Licence,Province,Public,Normandie
181,Université de la Polynésie française,Autre formation,Outre-mer / Etranger,Public,Polynésie française
182,Lycée polyvalent des métiers de l'aéronautique Jean Taris,Autre formation,Province,Public,Nouvelle-Aquitaine
183,Lycée Les Lombards,BTS,Province,Public,Grand Est
184,LGT ROBERT WEINUM St Martin,BTS,Outre-mer / Etranger,Public,Guadeloupe
185,Université des Antilles - Pôle Martinique,Licence,Outre-mer / Etranger,Public,Martinique
186,Lycée professionnel Jean Geiler,BTS,Province,Public,Grand Est
187,Lycée Francois Couperin,BTS,Ile-de-France,Public,Ile-de-France
188,Lycée professionnel De La Foret,Autre formation,Province,Public,Hauts-de-France
189,Lycée des métiers Tony Garnier du Batiment et des Travaux Publics,BTS,Province,Public,Auvergne-Rhône-Alpes
190,Lycée professionnel Mixte THEODORE MONOD,Autre formation,Ile-de-France,Public,Ile-de-France
191,Université Côte d'Azur,Licence,Province,Public,Provence Alpes Côte d'Azur
192,Aix Marseille Université - Site d'Aix-en-Provence,Licence,Province,Public,Provence Alpes Côte d'Azur
193,Université de Lorraine - Site de Nancy,Licence,Province,Public,Grand Est
194,Lycée Newton-Enrea,BTS,Ile-de-France,Public,Ile-de-France
195,Lycée Auguste Blanqui,BTS,Ile-de-France,Public,Ile-de-France
196,ICES - Institut Catholique de Vendée,Licence,Province,Privé,Pays de la Loire
197,Lycée professionnel Francis De Croisset,BTS,Province,Public,Provence Alpes Côte d'Azur
198,Université de Lille,Licence,Province,Public,Hauts-de-France
199,Université de Brest,Licence,Province,Public,Bretagne
200,Lycée professionnel Jean Moulin,BTS,Province,Public,Bretagne
201,"Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS)",Autre formation,Ile-de-France,Public,Ile-de-France
202,Université Bordeaux Montaigne,Licence,Province,Public,Nouvelle-Aquitaine
203,Lycée La Martinière-Diderot,Autre formation,Province,Public,Auvergne-Rhône-Alpes
204,Lycée professionnel Pontarcher,BTS,Province,Public,Bourgogne-Franche-Comté
205,Lycée Francois Mansart,Autre formation,Ile-de-France,Public,Ile-de-France
206,Lycée Camille Claudel,Autre formation,Ile-de-France,Public,Ile-de-France
207,Lycée Jean-Pierre Vernant,Autre formation,Ile-de-France,Public,Ile-de-France
208,Lycée Georges Brassens,Autre formation,Ile-de-France,Public,Ile-de-France
209,Lycée professionnel La Trinite,BTS,Outre-mer / Etranger,Public,Martinique
210,I.U.T de Toulouse,DUT,Province,Public,Occitanie
215,Maison familiale et rurale (MFR) de Fougerolles,BTS,Province,Privé,Bourgogne-Franche-Comté
216,Université de Poitiers,Licence,Province,Public,Nouvelle-Aquitaine
217,HEI Lille,Ecole d'Ingénieur,Province,Privé,Hauts-de-France
219,EFREI Paris,Ecole d'Ingénieur,Ile-de-France,Privé,Ile-de-France
220,ESIEE Paris,Ecole d'Ingénieur,Ile-de-France,Public,Ile-de-France
221,Lycée Celony,BTS,Province,Privé,Provence Alpes Côte d'Azur
222,IFSI CH Briançon,IFSI,Province,Public,Provence Alpes Côte d'Azur
223,IFSI CH Aurillac,IFSI,Province,Public,Auvergne-Rhône-Alpes
224,Lycée professionnel Schattenmann,BTS,Province,Privé,Grand Est
225,Université de Versailles - Saint Quentin en Yvelines,Licence_Las,Ile-de-France,Public,Ile-de-France
226,ARIFTS PAYS DE LA LOIRE - ANGERS,EFTS,Province,Privé,Pays de la Loire
227,Université d'Artois - Site de Lens,Licence,Province,Public,Hauts-de-France
228,Institut Catholique Paris,Autre formation,Ile-de-France,Privé,Ile-de-France
229,Université de Nantes,Autre formation,Province,Public,Pays de la Loire
230,IFSI Epinal,IFSI,Province,Public,Grand Est
231,Université de Versailles - Saint Quentin en Yvelines,Licence_Las,Ile-de-France,Public,Ile-de-France
232,ISEN Yncrea Ouest Caen,Ecole d'Ingénieur,Province,Privé,Normandie
233,ECAM Lyon,Ecole d'Ingénieur,Province,Privé,Auvergne-Rhône-Alpes
234,ECAM EPMI,Ecole d'Ingénieur,Ile-de-France,Privé,Ile-de-France
235,UniLaSalle Rouen,Ecole d'Ingénieur,Province,Privé,Normandie
236,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Autre formation,Ile-de-France,Public,Ile-de-France
237,Université Toulouse 3 Paul Sabatier,PASS,Province,Public,Occitanie
238,Lycée Bazeilles,BTS,Province,Public,Grand Est
239,Université de Paris,Licence,Ile-de-France,Public,Ile-de-France
240,Facultés libres de l'ouest UCO - Niort,Licence,Province,Privé,Nouvelle-Aquitaine
246,La Prépa des INP - Groupe INP - Grenoble,Ecole d'Ingénieur,Province,Public,Auvergne-Rhône-Alpes
247,ISEL Le Havre,Ecole d'Ingénieur,Province,Public,Normandie
248,Sup Galilée Paris,Ecole d'Ingénieur,Ile-de-France,Public,Ile-de-France
249,ISEP Paris,Ecole d'Ingénieur,Ile-de-France,Privé,Ile-de-France
250,IUT 1 GRENOBLE,Ecole d'Ingénieur,Province,Public,Auvergne-Rhône-Alpes
251,I.U.T de Blois,Ecole d'Ingénieur,Province,Public,Centre-Val de Loire
252,"I.U.T d'Allier (Montluçon, Moulins, Vichy)",DUT,Province,Public,Auvergne-Rhône-Alpes
253,Lycée Saint Joseph,BTS,Province,Privé,Provence Alpes Côte d'Azur
254,Université Côte d'Azur,Licence,Province,Public,Provence Alpes Côte d'Azur
255,Lycée Léonard De Vinci,BTS,Province,Public,Provence Alpes Côte d'Azur
256,Lycée Thierry Maulnier,BTS,Province,Public,Provence Alpes Côte d'Azur
257,Institut Supérieur Saint-Denis,BTS,Province,Privé,Auvergne-Rhône-Alpes
258,Lycée François Bazin,BTS,Province,Public,Grand Est
259,Lycée Jean Vigo,BTS,Province,Public,Occitanie
260,I.U.T de Rodez,DUT,Province,Public,Occitanie
261,L.P.A.H de Rignac,BTS,Province,Privé,Occitanie
262,Lycée Montmajour,BTS,Province,Public,Provence Alpes Côte d'Azur
263,I.U.T. de Clermont-Ferrand - Antenne d'Aurillac,DUT,Province,Public,Auvergne-Rhône-Alpes
264,Lycée Marguerite De Valois,BTS,Province,Public,Nouvelle-Aquitaine
265,Lycée professionnel Jean Albert Gregoire,BTS,Province,Public,Nouvelle-Aquitaine
266,Lycée agricole HENRI QUEUILLE,BTS,Province,Public,Nouvelle-Aquitaine
267,Lycée agricole de Brive-Voutezac,BTS,Province,Public,Nouvelle-Aquitaine
268,Ecole Forestière de Meymac,BTS,Province,Public,Nouvelle-Aquitaine
269,Université de Limoges - Antenne de Brive,Licence,Province,Public,Nouvelle-Aquitaine
270,Lycée Le Castel,BTS,Province,Public,Bourgogne-Franche-Comté
271,Lycée Gustave Eiffel,BTS,Province,Public,Bourgogne-Franche-Comté
272,Lycée saint bénigne,BTS,Province,Privé,Bourgogne-Franche-Comté
273,Lycée Fulgence Bienvenue,BTS,Province,Public,Bretagne
274,Lycée Les Cordeliers Notre Dame de la Victoire,BTS,Province,Privé,Bretagne
275,I.U.T de Lannion,DUT,Province,Public,Bretagne
276,Lycée agricole d'Ahun,BTS,Province,Public,Nouvelle-Aquitaine
277,Lycée Louis Pergaud,BTS,Province,Public,Bourgogne-Franche-Comté
278,Lycée Jules Haag,BTS,Province,Public,Bourgogne-Franche-Comté
279,Université de Franche-Comté - Site de Besançon,Licence,Province,Public,Bourgogne-Franche-Comté
280,Lycée Dr. Gustave Jaume,BTS,Province,Public,Auvergne-Rhône-Alpes
281,Centre d'études forestières et agricoles,BTS,Province,Privé,Auvergne-Rhône-Alpes
282,Lycée Aristide Briand,BTS,Province,Public,Normandie
283,Lycée Modeste Leroy,BTS,Province,Public,Normandie
284,Lycée professionnel Agricole de Tourville,BTS,Province,Privé,Normandie
285,I.U.T d'Evreux,DUT,Province,Public,Normandie
286,Lycée de Cornouaille,BTS,Province,Public,Bretagne
287,Lycée Le Likès,BTS,Province,Privé,Bretagne
288,I.U.T de Brest,DUT,Province,Public,Bretagne
289,Université de Brest,Licence,Province,Public,Bretagne
290,Lycée Dhuoda,BTS,Province,Public,Occitanie
291,I.U.T de Nîmes,DUT,Province,Public,Occitanie
292,Université de Nîmes,Licence,Province,Public,Occitanie
293,Lycée Pierre D'Aragon,BTS,Province,Public,Occitanie
294,I.U.T de Toulouse,DUT,Province,Public,Occitanie
295,Lycée professionnel des Métiers Eugene MONTEL,Autre formation,Province,Public,Occitanie
296,L.E.G.T.A. Toulouse Auzeville,BTS,Province,Public,Occitanie
297,Université Toulouse 1 Capitole,Licence,Province,Public,Occitanie
298,Université Toulouse 1 Capitole,Licence,Province,Public,Occitanie
299,Université Toulouse 2 Jean Jaurès,Licence,Province,Public,Occitanie
300,Université Toulouse 2 Jean Jaurès,Licence,Province,Public,Occitanie
301,Université de Bordeaux - Bordeaux Métropole,Autre formation,Province,Public,Nouvelle-Aquitaine
302,Université Bordeaux Montaigne,Licence,Province,Public,Nouvelle-Aquitaine
303,Université Bordeaux Montaigne,Licence,Province,Public,Nouvelle-Aquitaine
304,Université Bordeaux Montaigne,Licence,Province,Public,Nouvelle-Aquitaine
305,Université de Reims Champagne-Ardenne,Licence,Province,Public,Grand Est
306,Lycée Diderot,BTS,Province,Public,Grand Est
307,Lycée OUDINOT,BTS,Province,Privé,Grand Est
308,Lycée Victor Hugo,BTS,Province,Public,Pays de la Loire
309,I.U.T de Nancy-Brabois - Université de Lorraine,DUT,Province,Public,Grand Est
310,Université de Lorraine - Site de Nancy,Licence,Province,Public,Grand Est
311,Université de Lorraine - Site de Nancy,Licence,Province,Public,Grand Est
312,Lycée Stanislas (Biotec.Hotellerie),BTS,Province,Public,Grand Est
313,Lycée Jean-Auguste Margueritte,BTS,Province,Public,Grand Est
314,Lycée St Paul,BTS,Province,Privé,Bretagne
315,I.U.T de Lorient (Antenne de Pontivy),DUT,Province,Public,Bretagne
316,Lycée Blaise Pascal,BTS,Province,Public,Grand Est
317,Lycée Blaise Pascal,BTS,Province,Public,Grand Est
318,Lycée Robert Schuman,BTS,Province,Public,Grand Est
319,Lycée Robert Schuman,BTS,Province,Public,Grand Est
320,Lycée Jean-Victor Poncelet,BTS,Province,Public,Grand Est
321,I.U.T de Metz - Université de Lorraine,DUT,Province,Public,Grand Est
322,Université de Lorraine - Site de Metz,Licence,Province,Public,Grand Est
323,Université de Lorraine - Site de Metz,Licence,Province,Public,Grand Est
324,Lycée des Métiers Gustave Eiffel,BTS,Province,Public,Grand Est
325,Lycée Georges De La Tour,CPGE,Province,Public,Grand Est
326,Lycée De La Communication,BTS,Province,Public,Grand Est
327,Lycée des Métiers - Hotelier Raymond Mondon,BTS,Province,Public,Grand Est
328,Lycée Jules Renard,BTS,Province,Public,Bourgogne-Franche-Comté
329,Lycée Paul Duez,BTS,Province,Public,Hauts-de-France
330,Lycée Edmond Labbe,BTS,Province,Public,Hauts-de-France
331,Lycée Jean Moulin,BTS,Province,Public,Hauts-de-France
332,Lycée Ernest Couteaux,BTS,Province,Public,Hauts-de-France
333,Lycée Louis Pasteur,BTS,Province,Public,Hauts-de-France
334,Lycée Henri Wallon,CPGE,Province,Public,Hauts-de-France
335,Lycée Emile Zola,BTS,Province,Public,Hauts-de-France
336,Lycée Gaston Berger,Autre formation,Province,Public,Hauts-de-France
337,Lycée La Sagesse,BTS,Province,Privé,Hauts-de-France
338,Lycée Notre-Dame D'Annay,BTS,Province,Privé,Hauts-de-France
339,Lycée Notre-Dame De La Paix,CPGE,Province,Privé,Hauts-de-France
340,Université Polytechnique Hauts-de-France,Autre formation,Province,Public,Hauts-de-France
341,Université Polytechnique Hauts-de-France,Licence,Province,Public,Hauts-de-France
342,Université de Lille,Licence,Province,Public,Hauts-de-France
343,Université de Lille,Licence,Province,Public,Hauts-de-France
344,Université de Lille,Licence,Province,Public,Hauts-de-France
345,Université de Lille,Licence,Province,Public,Hauts-de-France
346,Lycée Marie Curie,BTS,Province,Public,Hauts-de-France
347,Lycée Napoleon,BTS,Province,Public,Normandie
348,Lycée Andre Malraux,BTS,Province,Public,Hauts-de-France
349,Lycée Edouard Branly,BTS,Province,Public,Hauts-de-France
350,Lycée Pierre De Coubertin,BTS,Province,Public,Hauts-de-France
351,Lycée agro-environnemental d'Arras,BTS,Province,Public,Hauts-de-France
352,Lycée Blaise Pascal,BTS,Province,Public,Hauts-de-France
353,Lycée Marguerite Yourcenar,BTS,Province,Public,Hauts-de-France
354,Université du littoral - Site de Boulogne-sur-Mer,Licence,Province,Public,Hauts-de-France
355,IUT LITTORAL (SAINT OMER),DUT,Province,Public,Hauts-de-France
356,Lycée Jean Rostand,CPGE,Province,Public,Grand Est
357,Lycée Jean Rostand,BTS,Province,Public,Grand Est
358,Lycée des métiers CFA Heinrich-Nessel,BTS,Province,Public,Grand Est
359,Ecole Commerciale Privee,BTS,Province,Privé,Grand Est
360,I.U.T. de Schiltigheim,DUT,Province,Public,Grand Est
361,Lycée polyvalent du Sacré-Coeur,BTS,Province,Privé,Auvergne-Rhône-Alpes
362,Lycée de St Paul 4,BTS,Outre-mer / Etranger,Public,La Réunion
363,Lycée Clement Marot,BTS,Province,Public,Occitanie
364,Lycée Francois Truffaut,BTS,Province,Public,Pays de la Loire
365,Lycée professionnel La Trinite,BTS,Outre-mer / Etranger,Public,Martinique
366,Lycée professionnel D Arsonval,BTS,Province,Public,Centre-Val de Loire
367,Lycée Professionnel Agricole DE MUGRON,BTS,Province,Public,Nouvelle-Aquitaine
368,Lycée professionnel Tregey Rive De Garonne,Autre formation,Province,Public,Nouvelle-Aquitaine
369,Université de Franche-Comté - Site de Besançon,Autre formation,Province,Public,Bourgogne-Franche-Comté
370,Université de Nantes,Licence,Province,Public,Pays de la Loire
371,Université de Paris,Licence,Ile-de-France,Public,Ile-de-France
372,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
