,etablissement,filiere_agregee,zone,statut_simplifie,region
7785,Lycée Gaston Berger,BTS,Province,Public,Hauts-de-France
7786,Lycée Gaston Berger,BTS,Province,Public,Hauts-de-France
7787,Institution Saint Jude,BTS,Province,Privé,Hauts-de-France
7788,Lycée Vauban,BTS,Province,Privé,Hauts-de-France
7789,Institut d'Anchin,BTS,Province,Privé,Hauts-de-France
7790,Université de Lille,Licence,Province,Public,Hauts-de-France
7791,Lycée Raymond Queneau,BTS,Province,Public,Hauts-de-France
7792,Lycée Paul Langevin,BTS,Province,Public,Hauts-de-France
7793,Lycée Alexandre Ribot,BTS,Province,Public,Hauts-de-France
7794,Université d'Artois - Site de Béthune,Licence,Province,Public,Hauts-de-France
7795,Université du littoral - Site de Saint-Omer,Autre formation,Province,Public,Hauts-de-France
7796,Lycée Godefroy De Bouillon,Autre formation,Province,Privé,Auvergne-Rhône-Alpes
7797,Lycée Saint-Cricq,CPGE,Province,Public,Nouvelle-Aquitaine
7798,Université de Pau et des Pays de l'Adour,Licence,Province,Public,Nouvelle-Aquitaine
7799,Lycée Jean Lurcat,BTS,Province,Public,Occitanie
7800,Université de Perpignan Via Domitia,Licence,Province,Public,Occitanie
7801,Lycée Kléber,CPGE,Province,Public,Grand Est
7802,I.U.T. d'Illkirch,DUT,Province,Public,Grand Est
7803,Lycée des Métiers Sainte Clotilde,BTS,Province,Privé,Grand Est
7804,Université de Strasbourg,Licence,Province,Public,Grand Est
7806,Université de Strasbourg,Licence,Province,Public,Grand Est
7807,I.U.T. de Mulhouse,DUT,Province,Public,Grand Est
7808,Lycée Ampère,BTS,Province,Public,Auvergne-Rhône-Alpes
7809,Lycée Edouard Herriot,CPGE,Province,Public,Auvergne-Rhône-Alpes
7810,Lycée La Martinière Duchère,BTS,Province,Public,Auvergne-Rhône-Alpes
7811,Lycée Frédéric Fays,BTS,Province,Public,Auvergne-Rhône-Alpes
7812,Lycée Edouard Branly,BTS,Province,Public,Auvergne-Rhône-Alpes
7813,Institut Agricole Sandar,BTS,Province,Privé,Auvergne-Rhône-Alpes
7814,Université Jean Moulin Lyon 3,Licence,Province,Public,Auvergne-Rhône-Alpes
7815,Lycée Charlie Chaplin,BTS,Province,Public,Auvergne-Rhône-Alpes
7816,Lycée Francois Rabelais,Autre formation,Province,Public,Auvergne-Rhône-Alpes
7817,Lycée Henri Parriat,BTS,Province,Public,Bourgogne-Franche-Comté
7818,Lycée polyvalent d'Estournelles de Constant,BTS,Province,Public,Pays de la Loire
7819,Lycée Polyvalent Gabriel Touchard - Washington,BTS,Province,Public,Pays de la Loire
7820,Lycée Polyvalent Saint-Charles Sainte-Croix,BTS,Province,Privé,Pays de la Loire
7821,Lycée Monge,BTS,Province,Public,Auvergne-Rhône-Alpes
7822,Lycée Saint Ambroise,BTS,Province,Privé,Auvergne-Rhône-Alpes
7823,Université Savoie Mont Blanc - Bourget-du-Lac,Licence,Province,Public,Auvergne-Rhône-Alpes
7824,Lycée Berthollet,CPGE,Province,Public,Auvergne-Rhône-Alpes
7825,ISETA de Poisy,BTS,Province,Privé,Auvergne-Rhône-Alpes
7826,I.U.T. Annecy,DUT,Province,Public,Auvergne-Rhône-Alpes
7827,Lycée Paul Valery,CPGE,Ile-de-France,Public,Ile-de-France
7828,Lycée Pierre-Gilles de Gennes - ENCPB,BTS,Ile-de-France,Public,Ile-de-France
7829,Lycée François Rabelais,BTS,Ile-de-France,Public,Ile-de-France
