,statut_etab,etablissement,region,selectivite,filiere_agregee,capacite,ran_grp1,acc_tot,pct_bours,pct_f,pct_brs,pct_ab,pct_b,pct_tb,selectivite_bin,statut_simplifie,zone,capacite_log,ran_grp1_log,taux_remplissage,taux_remplissage_clipped
1327,Public,Maison d'éducation de la Légion d'honneur,Ile-de-France,formation selective,CPGE,24.0,28.0,8,0.0,100.0,0.0,25.0,50.0,25.0,1,Public,Ile-de-France,3.2188758248682006,3.367295829986474,0.3333333333333333,0.3333333333333333
1328,Public,I.U.T de Saint-Denis - Université Paris 13,Ile-de-France,formation selective,DUT,52.0,226.0,55,38.1,3.64,29.09090909090909,34.54545454545455,9.090909090909092,1.8181818181818181,1,Public,Ile-de-France,3.970291913552122,5.424950017481403,1.0576923076923077,1.0576923076923077
1329,Public,Lycée Jean Rostand,Ile-de-France,formation selective,BTS,24.0,43.0,24,52.38,0.0,45.833333333333336,37.5,29.166666666666668,0.0,1,Public,Ile-de-France,3.2188758248682006,3.784189633918261,1.0,1.0
1330,Public,Lycée polyvalent de Cachan,Ile-de-France,formation selective,CPGE,42.0,236.0,40,27.5,12.5,27.5,12.5,45.0,40.0,1,Public,Ile-de-France,3.7612001156935624,5.4680601411351315,0.9523809523809523,0.9523809523809523
1331,Public,Université de Cergy-Pontoise - CY SUP,Ile-de-France,formation non selec,Licence,60.0,184.0,58,36.11,63.79,22.413793103448278,12.068965517241379,5.172413793103448,0.0,0,Public,Ile-de-France,4.110873864173311,5.220355825078324,0.9666666666666667,0.9666666666666667
1332,Public,Lycée Frantz Fanon,Martinique,formation selective,BTS,30.0,28.0,25,69.23,92.0,36.0,40.0,0.0,0.0,1,Public,Outre-mer / Etranger,3.4339872044851463,3.367295829986474,0.8333333333333334,0.8333333333333334
1333,Public,Université des Antilles - Pôle Martinique,Martinique,formation non selec,Licence,75.0,144.0,12,42.86,25.0,25.0,25.0,8.333333333333334,0.0,0,Public,Outre-mer / Etranger,4.330733340286331,4.976733742420574,0.16,0.16
1334,Public,Lycée de Trois Bassins,La Réunion,formation selective,BTS,14.0,4.0,14,71.43,0.0,71.42857142857143,35.714285714285715,35.714285714285715,0.0,1,Public,Outre-mer / Etranger,2.70805020110221,1.6094379124341003,1.0,1.0
1335,Public,IFSI CH Niort,Nouvelle-Aquitaine,formation selective,IFSI,110.0,1762.0,131,23.38,88.55,13.740458015267176,14.50381679389313,25.954198473282442,6.106870229007634,1,Public,Province,4.709530201312334,7.47477218239787,1.190909090909091,1.190909090909091
1336,Public,IFSI Grand Hôpital Est Francilien-Site de Formation Coulommiers,Ile-de-France,formation selective,IFSI,59.0,2032.0,59,33.33,96.61,15.254237288135593,23.728813559322035,8.474576271186441,3.389830508474576,1,Public,Ile-de-France,4.0943445622221,7.617267813628347,1.0,1.0
1337,Public,Université de Poitiers,Nouvelle-Aquitaine,formation non selec,Licence,90.0,486.0,80,15.22,50.0,8.75,20.0,10.0,2.5,0,Public,Province,4.51085950651685,6.18826412308259,0.8888888888888888,0.8888888888888888
1339,Public,Université de Brest,Bretagne,formation non selec,Licence,170.0,1188.0,125,18.33,31.2,8.8,15.2,8.8,4.0,0,Public,Province,5.14166355650266,7.080867896690782,0.7352941176470589,0.7352941176470589
1340,Public,IFSI CH St Brieuc,Bretagne,formation selective,IFSI,82.0,1419.0,82,22.92,84.15,13.414634146341463,24.390243902439025,24.390243902439025,6.097560975609756,1,Public,Province,4.418840607796598,7.258412150595307,1.0,1.0
1341,Public,IFSI CHRU Brest,Bretagne,formation selective,IFSI,96.0,420.0,96,18.03,85.42,11.458333333333334,20.833333333333332,23.958333333333332,11.458333333333334,1,Public,Province,4.574710978503383,6.042632833682381,1.0,1.0
1342,Public,Université d'Orléans,Centre-Val de Loire,formation non selec,Licence,240.0,1158.0,183,22.22,13.66,12.021857923497267,15.300546448087431,5.46448087431694,2.185792349726776,0,Public,Province,5.484796933490655,7.055312843339752,0.7625,0.7625
1343,Public,Lycée professionnel Emile Zola,Grand Est,formation selective,Autre formation,15.0,57.0,12,30.0,41.67,25.0,41.666666666666664,16.666666666666668,0.0,1,Public,Province,2.772588722239781,4.060443010546419,0.8,0.8
1344,Public,Campus de l'excellence sportive de Bretagne,Bretagne,formation selective,Autre formation,4.0,10.0,4,0.0,25.0,0.0,25.0,25.0,0.0,1,Public,Province,1.6094379124341003,2.3978952727983707,1.0,1.0
1345,Public,Université de Poitiers,Nouvelle-Aquitaine,formation non selec,Licence,40.0,252.0,44,26.67,56.82,18.181818181818183,15.909090909090908,9.090909090909092,2.272727272727273,0,Public,Province,3.713572066704308,5.53338948872752,1.1,1.1
1346,Public,Lycée professionnel Régional Abbe Gregoire,Ile-de-France,formation selective,Autre formation,16.0,23.0,11,14.29,90.91,9.090909090909092,18.181818181818183,36.36363636363637,0.0,1,Public,Ile-de-France,2.833213344056216,3.1780538303479458,0.6875,0.6875
1347,Public,Université de Poitiers,Nouvelle-Aquitaine,formation non selec,Licence,40.0,225.0,39,34.38,79.49,28.205128205128204,25.641025641025642,15.384615384615385,12.820512820512821,0,Public,Province,3.713572066704308,5.420534999272286,0.975,0.975
1348,Privé enseignement supérieur,ICD International Business School - Campus de Paris,Ile-de-France,formation selective,Ecole de Commerce,80.0,210.0,54,2.38,59.26,1.8518518518518519,24.074074074074073,11.11111111111111,1.8518518518518519,1,Privé,Ile-de-France,4.394449154672439,5.351858133476067,0.675,0.675
1349,Public,IFSI CH de Libourne,Nouvelle-Aquitaine,formation selective,IFSI,75.0,2964.0,76,10.26,88.16,5.2631578947368425,23.68421052631579,9.210526315789474,2.6315789473684212,1,Public,Province,4.330733340286331,7.994632311431825,1.0133333333333334,1.0133333333333334
1350,Public,IFSI du CH d'Orthez,Nouvelle-Aquitaine,formation selective,IFSI,34.0,2946.0,34,5.88,85.29,2.9411764705882355,14.705882352941176,26.470588235294116,2.9411764705882355,1,Public,Province,3.5553480614894135,7.988542982737695,1.0,1.0
1351,Privé enseignement supérieur,Facultés libres de l'ouest UCO - Angers,Pays de la Loire,formation non selec,Licence,130.0,731.0,127,5.66,50.39,4.724409448818897,25.984251968503937,31.496062992125985,18.11023622047244,0,Privé,Province,4.875197323201151,6.595780513961311,0.9769230769230769,0.9769230769230769
1352,Public,Lycée G. Fichet,Auvergne-Rhône-Alpes,formation selective,Autre formation,15.0,68.0,9,16.67,0.0,11.11111111111111,11.11111111111111,11.11111111111111,0.0,1,Public,Province,2.772588722239781,4.23410650459726,0.6,0.6
1353,Privé hors contrat,Ecole internationale d'esthétique et haute coiffure,Grand Est,formation selective,BTS,60.0,91.0,43,17.24,95.35,11.627906976744185,18.6046511627907,9.30232558139535,2.3255813953488373,1,Privé,Province,4.110873864173311,4.5217885770490405,0.7166666666666667,0.7166666666666667
1354,Public,Lycée De La Communication,Grand Est,formation selective,Autre formation,15.0,114.0,14,44.44,85.71,28.571428571428573,21.428571428571427,21.428571428571427,21.428571428571427,1,Public,Province,2.772588722239781,4.74493212836325,0.9333333333333333,0.9333333333333333
1355,Public,Lycée Marie Curie,Provence Alpes Côte d'Azur,formation selective,Autre formation,15.0,45.0,15,25.0,73.33,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,1,Public,Province,2.772588722239781,3.828641396489095,1.0,1.0
1356,Public,Université Sorbonne Nouvelle Paris 3,Ile-de-France,formation non selec,Licence,130.0,396.0,126,8.97,82.54,5.555555555555555,25.396825396825395,14.285714285714286,4.761904761904762,0,Public,Ile-de-France,4.875197323201151,5.983936280687191,0.9692307692307692,0.9692307692307692
1357,Privé sous contrat d'association,Lycée Sacre Coeur,Bretagne,formation selective,Autre formation,15.0,22.0,15,25.0,13.33,6.666666666666667,6.666666666666667,6.666666666666667,0.0,1,Privé,Province,2.772588722239781,3.1354942159291497,1.0,1.0
1358,Privé hors contrat,INSTITUT DE BIJOUTERIE,Pays de la Loire,formation selective,Autre formation,10.0,44.0,9,20.0,77.78,11.11111111111111,11.11111111111111,22.22222222222222,11.11111111111111,1,Privé,Province,2.3978952727983707,3.8066624897703196,0.9,0.9
1359,Privé hors contrat,Ecole technique privée EPSECO,Auvergne-Rhône-Alpes,formation selective,BTS,40.0,20.0,25,8.33,80.0,4.0,24.0,8.0,0.0,1,Privé,Province,3.713572066704308,3.044522437723423,0.625,0.625
1360,Privé hors contrat,Ecole technique privée EPSECO,Auvergne-Rhône-Alpes,formation selective,BTS,40.0,67.0,19,23.08,73.68,15.789473684210526,31.57894736842105,0.0,0.0,1,Privé,Province,3.713572066704308,4.219507705176107,0.475,0.475
1361,Privé sous contrat d'association,Ecole de Design Nantes Atlantique,Pays de la Loire,formation selective,Autre formation,29.0,108.0,30,19.05,53.33,13.333333333333334,30.0,23.333333333333332,6.666666666666667,1,Privé,Province,3.4011973816621555,4.6913478822291435,1.0344827586206897,1.0344827586206897
1362,Public,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Ile-de-France,formation non selec,Licence,30.0,262.0,30,30.0,46.67,20.0,20.0,20.0,6.666666666666667,0,Public,Ile-de-France,3.4339872044851463,5.572154032177765,1.0,1.0
