,capacite_log_scaled,ran_grp1_log_scaled,taux_remplissage_clipped_scaled,pct_bours_scaled,pct_f_scaled,pct_ab_scaled,pct_b_scaled,pct_tb_scaled,selectivite_bin,statut_Public,zone_Outre-mer / Etranger,zone_Province,filiere_BTS,filiere_CPGE,filiere_DUT,filiere_EFTS,filiere_Ecole d'Ingénieur,filiere_Ecole de Commerce,filiere_IFSI,filiere_Licence,filiere_Licence_Las,filiere_PASS
0,0.760030977769443,1.8198685323046742,0.5517516206323642,0.5354909509451857,1.2023087216495558,-0.7336106670153694,-0.7165860839991942,-0.5618558098774069,1,True,False,False,False,False,False,False,False,False,True,False,False,False
2,0.22248415051574089,-0.15039874396095476,0.5517516206323642,-1.1349365448119322,0.01872819578091835,-0.4192732410960389,2.495091436961823,0.8323940145171976,0,True,False,True,False,False,False,False,False,False,False,True,False,False
3,0.030334672868064776,-0.14336198159143948,0.5517516206323642,1.0736955140172884,1.672021107487138,0.17631346064585027,-0.20947910700534944,-0.2616584792661284,1,True,False,True,False,False,False,True,False,False,False,False,False,False
4,0.059804087310313045,0.053996495200038346,1.1046787970822123,-1.5148121464723472,1.672021107487138,-0.35735177826104075,-0.6506829884938381,-0.5618558098774069,1,False,False,False,False,False,False,True,False,False,False,False,False,False
5,0.5509970124667267,1.8175423354846065,-0.07720304257933783,-0.34215268047715264,-1.1993452482701767,-0.36903507313556866,-0.8983791512234027,-0.5618558098774069,0,True,False,True,False,False,False,False,False,False,False,True,False,False
6,-0.6902143967766751,0.005885190909379015,0.012647623593762715,-1.5148121464723472,0.16921200549850235,-1.0109672192971315,-0.9055082911145482,0.07189411030195879,0,True,False,False,False,False,False,False,False,False,False,True,False,False
7,-1.006739720271525,-0.7298327519922956,0.1923489559399632,-0.09099055104350486,-0.018808215182344136,-1.7505846920484973,-0.7975527441914888,-0.1544451469049575,0,True,False,False,False,False,False,False,False,False,False,True,False,False
8,1.7843616905240494,0.8479647938883634,0.3977219071927637,0.70008472737676,0.2199368851785868,-1.0457727474266076,-1.1633315384719722,-0.5618558098774069,0,True,False,False,False,False,False,False,False,False,False,True,False,False
9,-1.006739720271525,-0.3285881978419699,0.5517516206323642,-0.565407906640395,1.2212460100634541,-0.8630437247468583,2.797366968346389,-0.18160585776978747,1,True,False,True,False,False,False,False,False,False,False,False,False,False
10,-1.2484277249744669,-0.6959376973588844,-0.34675504109863825,-0.700955722525221,-1.7096375378518263,-0.4192732410960389,-0.6032327597299818,-0.5618558098774069,1,True,False,True,False,False,False,False,False,False,False,False,False,False
11,-1.006739720271525,-0.34752654396676175,-0.5264563734448388,-0.565407906640395,1.1082986113091327,-1.195871587484973,0.41694715869292953,3.240643711198788,1,True,False,True,False,False,False,False,False,False,False,False,False,False
12,-0.27505200394162416,-0.6330724512777333,0.5517516206323642,-0.700955722525221,1.5553538842229437,-1.0619753208661913,-1.0488285861675755,-0.3651748001665693,1,False,False,True,False,False,False,True,False,False,False,False,False,False
13,-1.006739720271525,-1.0645583865247557,0.9111542853247652,-0.09099055104350486,0.6152527808187117,-1.3345498636258541,-1.283352705345256,-0.2053714797765137,1,False,False,True,False,False,False,True,False,False,False,False,False,False
14,-0.7470051572369216,-0.886690620058901,1.1192295122519453,2.7566526398141797,1.0278151355500653,-1.4336057751550548,-0.6356194238068996,-0.29024870122910734,1,False,False,True,False,False,False,True,False,False,False,False,False,False
15,0.08854578700797544,-0.5359640254678825,0.28219962211306315,-1.0768446237184353,1.672021107487138,-1.2250670140409479,-0.030500173948698178,-0.11155981396048918,1,False,False,True,False,False,False,True,False,False,False,False,False,False
16,3.1419597900117493,1.7903426269586926,0.523075876109034,0.16529733613368675,1.1776226135385812,-0.10127727954946239,-0.2528679392615072,-0.3280122564422399,0,True,False,True,False,False,False,False,False,False,False,True,False,False
17,1.3482261231306867,0.1360968834488647,-0.34675504109863825,-1.1497442894043919,-0.49224042552979913,-0.15301095090554723,0.2809231695698747,-0.048518374532120684,1,False,False,True,False,False,False,False,False,False,False,False,False,False
18,0.342588506446148,-1.0645583865247557,-2.898513960414686,-1.5148121464723472,-1.5216173171709797,-0.6411584829214486,-0.14981946265313226,-0.5618558098774069,1,False,False,True,True,False,False,False,False,False,False,False,False,False
19,-0.06283341368093048,0.13154663590237364,-0.6804860868844392,0.2837592928733663,0.670035650873203,-1.5040455344647088,-0.02387132457622967,0.2831440836950807,0,True,False,True,False,False,False,False,False,False,False,True,False,False
20,-0.03094156403332159,0.9135467416711666,-1.5447639234066417,-0.8820658294637697,-0.6335937569049679,-0.5403015548189896,-1.283352705345256,-0.5618558098774069,0,True,False,True,False,False,False,False,False,False,False,False,True,False
21,0.342588506446148,1.2203840624972822,0.767393219447805,0.30255373793302714,0.696412588306847,-0.5984882441088699,0.8093240503940493,0.9737689967110561,0,True,True,False,False,False,False,False,False,False,False,False,False,True
22,-0.8067095104476314,1.4334069988345344,0.5517516206323642,-1.1588567476151366,0.7325963358119737,-1.3807759556728145,4.006469093884654,-0.24498084978772408,0,True,False,True,False,False,False,False,False,False,False,False,True,False
